probe_id,sample_id,beta,gene_id_entrez,expression
cg00000029,TCGA-AD-6895-01A,0.260261553725595,5934,2.78230371409402
cg00000029,TCGA-CM-6676-01A,0.178823653204155,5934,3.4525295446779265
cg00000029,TCGA-CM-6680-01A,0.140888689828246,5934,3.3717121843723015
cg00000029,TCGA-CK-4950-01A,0.212496985383487,5934,2.869713510255383
cg00000029,TCGA-D5-6529-01A,0.275253616389284,5934,2.8641167945563333
cg00000029,TCGA-QG-A5Z1-01A,0.169976637720696,5934,3.6622510817152274
cg00000029,TCGA-CM-5862-01A,0.14076606719732,5934,2.9552011930130275
cg00000029,TCGA-QL-A97D-01A,0.150035413869558,5934,3.438492472690674
cg00000029,TCGA-AZ-4313-01A,0.178163620678875,5934,2.3005923412578193
cg00000029,TCGA-A6-6781-01A,0.259062730388243,5934,3.2364773111909093
cg00000029,TCGA-AA-3713-01A,0.2327391780973,5934,3.780541079757928
cg00000029,TCGA-AD-6965-01A,0.088557287099571,5934,3.3553405239644
cg00000029,TCGA-D5-5538-01A,0.194563477821099,5934,3.5798197556306697
cg00000029,TCGA-AZ-6608-01A,0.0753805942652182,5934,2.9268533930866005
cg00000029,TCGA-AD-6964-01A,0.272489881869707,5934,3.2679701891157924
cg00000029,TCGA-CA-5255-01A,0.190565322024235,5934,2.8302958943239234
cg00000029,TCGA-G4-6321-01A,0.238889251339575,5934,3.122324839963824
cg00000029,TCGA-T9-A92H-01A,0.0728494506591723,5934,4.111916027604139
cg00000029,TCGA-G4-6586-01A,0.195412277189881,5934,2.3132168234262913
cg00000029,TCGA-F4-6807-01A,0.255308887495292,5934,3.383994530064147
cg00000029,TCGA-A6-4105-01A,0.130680198791212,5934,3.0916152161103985
cg00000029,TCGA-AA-3511-01A,0.140970165792923,5934,3.446123866474554
cg00000029,TCGA-AZ-4616-01A,0.242199203162747,5934,2.426506302021826
cg00000029,TCGA-DM-A28K-01A,0.104322969748821,5934,2.7736166185578854
cg00000029,TCGA-AZ-6603-01A,0.094466467895735,5934,3.864592271153671
cg00000029,TCGA-DM-A0XF-01A,0.162726913403872,5934,3.0386468812218825
cg00000029,TCGA-CK-5912-01A,0.0671682579482919,5934,4.183692939267342
cg00000029,TCGA-CA-5256-01A,0.115722870806495,5934,2.639810977716776
cg00000029,TCGA-A6-6653-01A,0.100950032606314,5934,2.3647124929766017
cg00000029,TCGA-AD-A5EJ-01A,0.282031217066856,5934,2.816415390213988
cg00000029,TCGA-CM-6162-01A,0.243915486935869,5934,3.3627644293752685
cg00000029,TCGA-AD-6890-01A,0.188706122464742,5934,2.6745058480653574
cg00000029,TCGA-G4-6311-01A,0.165888960768897,5934,3.389208846831431
cg00000029,TCGA-AZ-4684-01A,0.178151750576384,5934,2.9220836463797983
cg00000029,TCGA-CM-6164-01A,0.242023186750735,5934,3.5417750066213243
cg00000029,TCGA-A6-6648-01A,0.16160699097666,5934,3.347793197376036
cg00000029,TCGA-CM-6170-01A,0.111256063673188,5934,4.465987520508711
cg00000029,TCGA-G4-6627-01A,0.390471891620369,5934,3.1248078506065022
cg00000029,TCGA-CM-5344-01A,0.0942790622574959,5934,3.0872421768987346
cg00000029,TCGA-DM-A28H-01A,0.470927743684766,5934,3.0314834210143413
cg00000029,TCGA-A6-6654-01A,0.250701418566365,5934,3.3399212453251166
cg00000029,TCGA-AY-A8YK-01A,0.113674456898109,5934,3.599805751570371
cg00000029,TCGA-A6-2680-01A,0.0884903594097927,5934,3.291883465574899
cg00000029,TCGA-F4-6809-01A,0.257577361839835,5934,3.1455307329851365
cg00000029,TCGA-5M-AAT6-01A,0.395044479377112,5934,3.0385942092152236
cg00000029,TCGA-G4-6307-01A,0.0674827269384082,5934,2.856806461874541
cg00000029,TCGA-A6-6652-01A,0.0858489292962621,5934,3.424626533814888
cg00000029,TCGA-AZ-4315-01A,0.18674483553198,5934,2.531169329758684
cg00000029,TCGA-AZ-6599-01A,0.110084883046663,5934,3.554404666085853
cg00000029,TCGA-AA-3712-01A,0.0939946402435317,5934,3.5434092696312818
cg00000029,TCGA-CA-6716-01A,0.0625742044067776,5934,3.1516153170430226
cg00000029,TCGA-AA-3510-01A,0.224900810039202,5934,2.9018419575012615
cg00000029,TCGA-NH-A5IV-01A,0.13069296742597,5934,3.5077692739090423
cg00000029,TCGA-CM-5341-01A,0.141745524344248,5934,3.5454989227738043
cg00000029,TCGA-AA-3697-01A,0.120291767238764,5934,3.4140407938017403
cg00000029,TCGA-F4-6703-01A,0.451553004302614,5934,3.0662097688848484
cg00000029,TCGA-3L-AA1B-01A,0.202266404077666,5934,3.093120675402461
cg00000029,TCGA-F4-6570-01A,0.293602611040199,5934,2.889473542531109
cg00000029,TCGA-DM-A28A-01A,0.0863405997279146,5934,3.0394542779444693
cg00000029,TCGA-CK-4952-01A,0.174355664439797,5934,3.1896031969058156
cg00000029,TCGA-CM-6169-01A,0.183324683241622,5934,3.6412223111919713
cg00000029,TCGA-D5-6534-01A,0.304143875932647,5934,3.2761392975332804
cg00000029,TCGA-QG-A5YX-01A,0.106272883916142,5934,3.17434249619912
cg00000029,TCGA-A6-2681-01A,0.116647061184762,5934,2.851419244857097
cg00000029,TCGA-G4-6306-01A,0.0811081155706127,5934,3.003746139232895
cg00000029,TCGA-G4-6298-01A,0.132591300218892,5934,2.4497198312701527
cg00000029,TCGA-AD-6548-01A,0.387464085241252,5934,3.080794081958242
cg00000029,TCGA-AZ-6601-01A,0.288774077928397,5934,3.2962958752196596
cg00000029,TCGA-G4-6628-01A,0.615489826901997,5934,2.9984482686259155
cg00000029,TCGA-AA-3506-01A,0.109587435824032,5934,2.76411256667788
cg00000029,TCGA-DM-A285-01A,0.155005662086016,5934,3.400975043673087
cg00000029,TCGA-G4-6625-01A,0.249927125088874,5934,3.3607716012781834
cg00000029,TCGA-G4-6588-01A,0.156324004934235,5934,2.8390929042169866
cg00000029,TCGA-A6-2677-01B,0.381925028491781,5934,4.908572758751745
cg00000029,TCGA-AZ-4681-01A,0.11326611062366,5934,2.326566109716111
cg00000029,TCGA-A6-6649-01A,0.1908174350172,5934,3.3637317825444475
cg00000029,TCGA-A6-2682-01A,0.200867682535576,5934,2.74364421670626
cg00000029,TCGA-G4-6314-01A,0.223768188086047,5934,4.5761834941456225
cg00000029,TCGA-AA-3662-01A,0.127047522055905,5934,3.113633829646433
cg00000029,TCGA-AA-3496-01A,0.161209259561209,5934,3.2198654933074087
cg00000029,TCGA-CM-4750-01A,0.125084397971064,5934,2.804363382879397
cg00000029,TCGA-AD-6888-01A,0.202550207898986,5934,2.491622246654666
